TABLE 6.10,,,,,,,,
,,,,,,,,
EXCHANGE RATES: FOREIGN CURRENCY PER PULA - AVERAGES1,,,,,,,,
,,US,Pound,Japanese,,Chinese,SA, 
Period,,dollar,sterling,yen,Euro,yuan2,rand,SDR
2015,,0.0989,0.0647,11.96,0.0891,…,1.2570,0.0707
2016,,0.0918,0.0681,9.97,0.0830,0.6406,1.3495,0.0661
2017,,0.0967,0.0751,10.84,0.0857,0.6526,1.2873,0.0697
2018,,0.0983,0.0735,10.84,0.0831,0.6489,1.2960,0.0693
2019,,0.0930,0.0729,10.14,0.0830,0.6428,1.3432,0.0673
,,,,,,,,
2020,Q1,0.0903,0.0705,9.83,0.0819,0.6305,1.3833,0.0657
,Q2,0.0835,0.0673,8.97,0.0759,0.5926,1.4988,0.0610
,Q3,0.0864,0.0669,9.17,0.0739,0.5976,1.4609,0.0615
,Q4,0.0895,0.0678,9.35,0.0751,0.5918,1.4005,0.0628
,,,,,,,,
2021,Q1,0.0911,0.0661,9.65,0.0755,0.5900,1.3629,0.0634
,Q2,0.0928,0.0663,10.15,0.0769,0.5991,1.3100,0.0646
,Q3,0.0902,0.0654,9.93,0.0765,0.5839,1.3194,0.0634
,Q4,0.0869,0.0644,9.88,0.0760,0.5556,1.3393,0.0619
,,,,,,,,
2022,Jan,0.0862,0.0635,9.89,0.0761,0.5479,1.3342,0.0615
,Feb,0.0866,0.0640,9.98,0.0764,0.5497,1.3192,0.0618
,Mar,0.0864,0.0655,10.24,0.0784,0.5488,1.2954,0.0625
,Apr,0.0855,0.0660,10.79,0.0790,0.5511,1.2841,0.0627
,May,0.0823,0.0662,10.61,0.0779,0.5537,1.3100,0.0614
,Jun,0.0823,0.0668,11.02,0.0778,0.5512,1.2997,0.0615
,Jul,0.0791,0.0660,10.81,0.0777,0.5332,1.3312,0.0601
,Aug,0.0791,0.0660,10.69,0.0781,0.5388,1.3208,0.0602
,Sep,0.0764,0.0674,10.93,0.0771,0.5365,1.3404,0.0592
,Oct,0.0749,0.0663,11.01,0.0761,0.5385,1.3546,0.0584
,Nov,0.0764,0.0652,10.89,0.0750,0.5490,1.3386,0.0587
,Dec,0.0776,0.0637,10.48,0.0733,0.5416,1.3415,0.0584
,,,,,,,,
2023,Jan,0.0784,0.0640,10.22,0.0727,0.5318,1.3390,0.0583
,Feb,0.0765,0.0633,10.16,0.0714,0.5236,1.3671,0.0572
,Mar,0.0756,0.0623,10.11,0.0706,0.5213,1.3814,0.0565
,Apr,0.0761,0.0612,10.16,0.0694,0.5243,1.3820,0.0564
,May,0.0742,0.0594,10.16,0.0682,0.5191,1.4113,0.0553
,Jun,0.0743,0.0589,10.50,0.0686,0.5330,1.3947,0.0557
,Jul,0.0756,0.0587,10.67,0.0684,0.5437,1.3741,0.0563
,Aug,0.0742,0.0583,10.73,0.0679,0.5387,1.3898,0.0556
,Sep,0.0732,0.0590,10.81,0.0685,0.5347,1.3896,0.0555
,Oct,0.0727,0.0598,10.88,0.0689,0.5322,1.3867,0.0555
,Nov,0.0740,0.0596,11.08,0.0685,0.5352,1.3705,0.0559
,Dec,0.0740,0.0585,10.67,0.0679,0.5291,1.3799,0.0554
,,,,,,,,
2024,Jan,0.0736,0.0579,10.76,0.0675,0.5283,1.3841,0.0552
,Feb,0.0729,0.0577,10.90,0.0676,0.5258,1.3852,0.0550
,Mar,0.0732,0.0575,10.96,0.0673,0.5280,1.3806,0.0550
,Apr,0.0727,0.0581,11.19,0.0678,0.5277,1.3733,0.0551
,May,0.0736,0.0582,11.47,0.0681,0.5328,1.3542,0.0556
          1.         The monthly averages are calculated from the daily exchange rates. The quarterly and annual averages are calculated from ,,,,,,,,
,the relevant monthly averages.,,,,,,,
          2.         The Chinese yuan (CNH) was introduced in October 2016.,,,,,,,,
Source:          ,Bank of Botswana,,,,,,,
