lag,acf,pacf
0,1.0,1.0
1,0.9136173088445219,0.9136173088445219
2,0.7697340820807949,-0.39298949591253557
3,0.6344995710338044,0.09967765318661208
4,0.51562291960059,-0.055340700782042354
5,0.4028439568367627,-0.07510463325081197
6,0.30170347467662534,0.005768810029981613
7,0.21529129390823598,-0.026136508357412335
8,0.12650406685793122,-0.1346397514309167
9,0.04453804792788923,0.02252251682331385
10,-0.04174104310192631,-0.17004229055735032
11,-0.11340440648271402,0.06839447159480169
12,-0.12836759695033623,0.2535462482895862
13,-0.06879464050500683,0.2624883413602148
14,0.00863039821427239,-0.08012535525296964
15,0.06291642640924329,-0.05209631994046124
16,0.09620684295462481,-0.05643281350617839
17,0.11412356863080558,-0.03989542380787431
18,0.1117931785832452,-0.08268858603773042
19,0.09197263886824854,-0.05502585728890641
