Date,actual,predicted,residual
2019-03-01,0.115759,0.11646290653716404,-0.0007039065371640396
2019-04-01,0.414577,0.40467447719638744,0.009902522803612535
2019-05-01,1.008746,1.024675090357592,-0.015929090357592157
2019-06-01,1.304094,1.293811451622186,0.010282548377814171
2019-07-01,1.601465,1.6012367707807427,0.0002282292192572477
2019-08-01,1.9,1.9027975370977563,-0.0027975370977564307
2019-09-01,2.500589,2.4965922007719485,0.0039967992280516285
2019-10-01,2.549077,2.533452429465606,0.015624570534394255
2019-11-01,2.600688,2.6174674371572286,-0.016779437157228738
2019-12-01,3.0,3.0028418725822132,-0.002841872582213245
2020-01-01,3.286853,3.2971603950261863,-0.010307395026186494
2020-02-01,3.578529,3.5822798092500783,-0.003750809250078202
2020-03-01,3.366337,3.4084733641816825,-0.04213636418168232
2020-04-01,3.155819,3.1419193032951567,0.013899696704843478
2020-05-01,3.137255,3.1349147310347187,0.002340268965281389
2020-06-01,3.627451,3.6268166854536723,0.0006343145463278965
2020-07-01,3.917728,3.9161206681954215,0.0016073318045783935
2020-08-01,4.3095,4.3171083178680005,-0.007608317868000647
2020-09-01,4.199219,4.207030771677012,-0.007811771677011414
2020-10-01,4.301075,4.29971617608801,0.001358823911989937
2020-11-01,4.292683,4.30142217947314,-0.008739179473139735
2020-12-01,3.592233,3.5859251262220946,0.006307873777905204
2021-01-01,3.375121,3.379431689789778,-0.0043106897897779994
2021-02-01,3.646833,3.473819102461923,0.17301389753807683
2021-03-01,7.324234,5.476976937674555,1.8472570623254443
2021-04-01,11.907553,5.623756039816207,6.283796960183793
2021-05-01,12.555894,4.687058802019504,7.868835197980497
2021-06-01,6.822327,4.422956901079597,2.3993700989204028
2021-07-01,6.532611,3.9818881237289325,2.5507228762710676
2021-08-01,6.320939,4.000611459593225,2.320327540406775
2021-09-01,6.349203,4.0841728468669505,2.2650301531330497
2021-10-01,6.815183,4.669814689107309,2.1453683108926915
2021-11-01,6.735267,3.8588101861096455,2.876456813890355
2021-12-01,7.24283,4.173082248864202,3.0697477511357976
2022-01-01,7.06931,4.401104217575043,2.6682057824249563
2022-02-01,6.765926,4.523034966396338,2.2428910336036623
2022-03-01,3.527643,4.530121917314586,-1.0024789173145865
2022-04-01,1.280762,4.754557691945173,-3.473795691945173
2022-05-01,2.701066,4.788649126861742,-2.087583126861742
2022-06-01,9.611358,4.675475046726333,4.9358829532736666
2022-07-01,11.848774,4.710592431146604,7.138181568853397
2022-08-01,13.246102,4.873232818997379,8.37286918100262
2022-09-01,14.817501,5.289461695393626,9.528039304606374
2022-10-01,15.79303,4.980769897549692,10.812260102450308
2022-11-01,15.662927,4.502107355938274,11.160819644061725
2022-12-01,16.909133,5.902619617564639,11.006513382435362
2023-01-01,17.202729,5.627595624920234,11.575133375079767
2023-02-01,17.300828,5.925812298464069,11.37501570153593
2023-03-01,17.759534,5.674717851923144,12.084816148076854
2023-04-01,16.604768,5.765082492536115,10.839685507463885
2023-05-01,14.282472,5.778828419228608,8.503643580771392
2023-06-01,12.864132,5.548427079427144,7.3157049205728555
2023-07-01,10.693706,6.1916269077724495,4.502079092227551
2023-08-01,9.007522,6.098087328056742,2.9094346719432576
2023-09-01,7.666359,5.893117852014831,1.7732411479851686
2023-10-01,6.54316,5.677867104653508,0.8652928953464922
2023-11-01,7.261119,5.842279944981806,1.4188390550181937
2023-12-01,6.077058,5.13568387511682,0.94137412488318
