date,actual,predicted,base_value,top_feature,top_feature_shap
2019-03-01,0.115759,0.11646290653716404,6.298282676283614,food_index_std12,-1.1812520633342702
2019-04-01,0.414577,0.40467447719638744,6.298282676283614,food_index_std12,-0.9234772426615113
2019-05-01,1.008746,1.024675090357592,6.298282676283614,food_index_std12,-0.4045428182789486
2019-06-01,1.304094,1.293811451622186,6.298282676283614,food_index_std12,-0.26687453459131916
2019-07-01,1.601465,1.6012367707807427,6.298282676283614,food_index_std12,-0.1767773964097942
2019-08-01,1.9,1.9027975370977563,6.298282676283614,food_index_std12,-0.17030316423748637
2019-09-01,2.500589,2.4965922007719485,6.298282676283614,food_index_std12,-0.1504993906504643
2019-10-01,2.549077,2.533452429465606,6.298282676283614,food_index_std12,-0.15562724404027528
2019-11-01,2.600688,2.6174674371572286,6.298282676283614,food_index_std12,-0.15923024142673606
2019-12-01,3.0,3.0028418725822132,6.298282676283614,food_index_std12,-0.2026490383820139
2020-01-01,3.286853,3.2971603950261863,6.298282676283614,food_index_std12,-0.15868118727275946
2020-02-01,3.578529,3.5822798092500783,6.298282676283614,food_index_std12,-0.1613746280791986
2020-03-01,3.366337,3.4084733641816825,6.298282676283614,food_index_std12,-0.1504500006781131
2020-04-01,3.155819,3.1419193032951567,6.298282676283614,food_index_std12,-0.15296937146495349
2020-05-01,3.137255,3.1349147310347187,6.298282676283614,food_index_std12,-0.0003769533399128141
2020-06-01,3.627451,3.6268166854536723,6.298282676283614,food_index_std12,0.07329961765023872
2020-07-01,3.917728,3.9161206681954215,6.298282676283614,food_index_std12,0.2747652863731654
2020-08-01,4.3095,4.3171083178680005,6.298282676283614,food_index_std12,0.29510181670984387
2020-09-01,4.199219,4.207030771677012,6.298282676283614,food_index_std12,0.2863054630177096
2020-10-01,4.301075,4.29971617608801,6.298282676283614,food_index_std12,0.2780972863735813
2020-11-01,4.292683,4.30142217947314,6.298282676283614,food_index_std12,0.293678017269828
2020-12-01,3.592233,3.5859251262220946,6.298282676283614,food_index_std12,0.005597160775110406
2021-01-01,3.375121,3.379431689789778,6.298282676283614,food_index_std12,-0.01674686960454913
2021-02-01,3.646833,3.473819102461923,6.298282676283614,food_index_std12,0.02300718409158006
2021-03-01,7.324234,5.476976937674555,6.298282676283614,food_index_std12,1.7606081025230884
2021-04-01,11.907553,5.623756039816207,6.298282676283614,food_index_std12,1.7743543543894666
2021-05-01,12.555894,4.687058802019504,6.298282676283614,food_index_std12,1.8382742705251596
2021-06-01,6.822327,4.422956901079597,6.298282676283614,food_index_std12,1.8332398627787183
2021-07-01,6.532611,3.9818881237289325,6.298282676283614,food_index_std12,1.836431261114607
2021-08-01,6.320939,4.000611459593225,6.298282676283614,food_index_std12,1.8459916869203752
2021-09-01,6.349203,4.0841728468669505,6.298282676283614,food_index_std12,1.8396614361440131
2021-10-01,6.815183,4.669814689107309,6.298282676283614,food_index_std12,1.799571027400038
2021-11-01,6.735267,3.8588101861096455,6.298282676283614,food_index_std12,1.8131203913710454
2021-12-01,7.24283,4.173082248864202,6.298282676283614,food_index_std12,1.8093782657067705
2022-01-01,7.06931,4.401104217575043,6.298282676283614,food_index_std12,1.8161620022066007
2022-02-01,6.765926,4.523034966396338,6.298282676283614,food_index_std12,1.8137098691041798
2022-03-01,3.527643,4.530121917314586,6.298282676283614,food_index_std12,1.806576164680765
2022-04-01,1.280762,4.754557691945173,6.298282676283614,food_index_std12,1.8002522232895344
2022-05-01,2.701066,4.788649126861742,6.298282676283614,food_index_std12,1.801388407207592
2022-06-01,9.611358,4.675475046726333,6.298282676283614,food_index_std12,1.7968186023297787
2022-07-01,11.848774,4.710592431146604,6.298282676283614,food_index_std12,1.8005232092883312
2022-08-01,13.246102,4.873232818997379,6.298282676283614,food_index_std12,1.7980965285971822
2022-09-01,14.817501,5.289461695393626,6.298282676283614,food_index_std12,1.794392445739781
2022-10-01,15.79303,4.980769897549692,6.298282676283614,food_index_std12,1.7852215383244636
2022-11-01,15.662927,4.502107355938274,6.298282676283614,food_index_std12,1.8327876105427352
2022-12-01,16.909133,5.902619617564639,6.298282676283614,food_index_std12,1.7798545852736085
2023-01-01,17.202729,5.627595624920234,6.298282676283614,food_index_std12,1.7910941551968873
2023-02-01,17.300828,5.925812298464069,6.298282676283614,food_index_std12,1.7802078192688544
2023-03-01,17.759534,5.674717851923144,6.298282676283614,food_index_std12,1.7721049561659517
2023-04-01,16.604768,5.765082492536115,6.298282676283614,food_index_std12,1.786624680953677
2023-05-01,14.282472,5.778828419228608,6.298282676283614,food_index_std12,1.772565490275992
2023-06-01,12.864132,5.548427079427144,6.298282676283614,food_index_std12,1.7703486190763222
2023-07-01,10.693706,6.1916269077724495,6.298282676283614,food_index_std12,1.7187798431533559
2023-08-01,9.007522,6.098087328056742,6.298282676283614,food_index_std12,1.730592883240686
2023-09-01,7.666359,5.893117852014831,6.298282676283614,food_index_std12,1.7408393644320643
2023-10-01,6.54316,5.677867104653508,6.298282676283614,food_index_std12,1.7443529321583708
2023-11-01,7.261119,5.842279944981806,6.298282676283614,food_index_std12,1.7364759910512637
2023-12-01,6.077058,5.13568387511682,6.298282676283614,food_index_std12,1.7873803085099702
