origin_year,feature_group,ranking,model,feature_subset,n_features,horizon,mean_test_rmse,std_test_rmse,mean_test_mae,std_test_mae,mean_test_r2,std_test_r2,mean_cv_rmse,std_cv_rmse,seeds_evaluated
2021,official_only,lightgbm,lightgbm,100,90,1,0.136738431824313,,0.136738431824313,,,,0.17856017503944602,,1
2021,official_only,lightgbm,lightgbm,100,90,3,0.6879539700593886,,0.47638203710195803,,0.8540888400358483,,0.32157870175396824,,1
2021,official_only,lightgbm,lightgbm,25,24,1,0.24725177220411343,,0.24725177220411343,,,,0.34945713507893233,,1
2021,official_only,lightgbm,lightgbm,25,24,3,0.2493000094024271,,0.23794005739978127,,0.9808391691348662,,0.29586081105295886,,1
2021,official_only,lightgbm,lightgbm,all,2724,1,0.023216972534256364,,0.023216972534256364,,,,0.3385375065902176,,1
2021,official_only,lightgbm,lightgbm,all,2724,3,0.639344446816556,,0.6141745534526183,,0.8739799805594733,,0.5322424428726928,,1
2021,official_only,random_forest,lightgbm,100,100,1,0.32981153261695395,,0.32981153261695395,,,,0.23507015500102266,,1
2021,official_only,random_forest,lightgbm,100,100,3,1.0432174277015986,,0.8137587774332915,,0.6644792260893126,,0.5135867247818762,,1
2021,official_only,random_forest,lightgbm,25,25,1,0.4508787700419963,,0.4508787700419963,,,,0.479950205124131,,1
2021,official_only,random_forest,lightgbm,25,25,3,0.28337072254186363,,0.23178557605084946,,0.9752440439703473,,0.3988929717830884,,1
2021,official_only,random_forest,lightgbm,all,2724,1,0.0043106897897779994,,0.0043106897897779994,,,,0.19349558327586883,,1
2021,official_only,random_forest,lightgbm,all,2724,3,1.583331458075993,,1.0150642076355305,,0.22711758053725872,,0.4210672810079391,,1
