Date,indicator,value
2023-01-01,104.942163812188,104.942163812188
2022-01-01,1075.548178184,1075.548178184
2022-01-01,1089.265091732,1089.265091732
2014-01-01,10894.9,10894.9
2024-01-01,1106.996,1106.996
2014-01-01,1214.45930079619,1214.45930079619
2023-01-01,1338.439377213,1338.439377213
2019-01-01,134.889550363091,134.889550363091
2024-01-01,1355.33,1355.33
2019-01-01,1425.855946031,1425.855946031
2020-01-01,158.021550716921,158.021550716921
2019-01-01,162.386982325072,162.386982325072
2020-01-01,1666.8,1666.8
2020-01-01,1669.9,1669.9
2019-01-01,169.364705600113,169.364705600113
2019-01-01,1716.5187643,1716.5187643
2019-01-01,1790.27709617,1790.27709617
2019-01-01,186.870471840815,186.870471840815
2020-01-01,190.953830961649,190.953830961649
2019-01-01,191.493325890376,191.493325890376
2019-01-01,1975.322570908,1975.322570908
2019-01-01,2024.188653688,2024.188653688
2020-01-01,207.563187795513,207.563187795513
2023-01-01,21.933660702673,21.933660702673
2024-01-01,23.8188725917187,23.8188725917187
2020-01-01,231.140820974681,231.140820974681
2017-01-01,239.647865408944,239.647865408944
2022-01-01,24.2226658629256,24.2226658629256
2017-01-01,2479.046368278,2479.046368278
2020-01-01,2490.4,2490.4
2020-01-01,2493.7,2493.7
2021-01-01,25.0149767281186,25.0149767281186
2020-01-01,256.854734888766,256.854734888766
2021-01-01,274.651455468,274.651455468
2016-01-01,279.667586330787,279.667586330787
2023-01-01,279.743375822,279.743375822
2014-01-01,2801.3,2801.3
2022-01-01,281.125651357,281.125651357
2018-01-01,284.712588508363,284.712588508363
2020-01-01,2849.1,2849.1
2015-01-01,287.465663562699,287.465663562699
2015-01-01,2906.6,2906.6
2018-01-01,2910.812188204,2910.812188204
2016-01-01,3046,3046.0
2014-01-01,312.262144610816,312.262144610816
2023-01-01,32.8444255073121,32.8444255073121
2024-01-01,323.802,323.802
2021-01-01,34.7398372707499,34.7398372707499
2022-01-01,37.0298848602689,37.0298848602689
2021-01-01,381.4253746,381.4253746
2017-01-01,402.647284768092,402.647284768092
2017-01-01,4165.2,4165.2
2023-01-01,418.9,418.9
2022-01-01,429.764855773,429.764855773
2016-01-01,462.314575657063,462.314575657063
2021-01-01,50.1454358716427,50.1454358716427
2023-01-01,50.2019670253992,50.2019670253992
2016-01-01,5035.3,5035.3
2018-01-01,519.82318928175,519.82318928175
2015-01-01,526.26214215354,526.26214215354
2018-01-01,5308.620445589,5308.620445589
2015-01-01,5321.1,5321.1
2017-01-01,549.160958988376,549.160958988376
2021-01-01,55.7305766965904,55.7305766965904
2024-01-01,55.9651776595127,55.9651776595127
2021-01-01,550.570847893,550.570847893
2018-01-01,560.156087274694,560.156087274694
2014-01-01,5638,5638.0
2017-01-01,5680.81622032,5680.81622032
2018-01-01,5726.717400818,5726.717400818
2014-01-01,5870.6,5870.6
2021-01-01,59.5474493285643,59.5474493285643
2016-01-01,602.451357343432,602.451357343432
2024-01-01,61.0981939146629,61.0981939146629
2021-01-01,611.892794071,611.892794071
2014-01-01,628.470342810758,628.470342810758
2014-01-01,6286.7,6286.7
2015-01-01,631.571933167633,631.571933167633
2015-01-01,6385.9,6385.9
2023-01-01,640.279245629,640.279245629
2021-01-01,653.800073662,653.800073662
2014-01-01,654.398367241014,654.398367241014
2016-01-01,6561.6,6561.6
2023-01-01,66.686533278738,66.686533278738
2024-01-01,67.272746099258,67.272746099258
2022-01-01,67.971585841081,67.971585841081
2017-01-01,672.615851024658,672.615851024658
2016-01-01,686.773980877968,686.773980877968
2015-01-01,694.532313482783,694.532313482783
2017-01-01,6957.9,6957.9
2014-01-01,700.781217479318,700.781217479318
2017-01-01,701.066488294247,701.066488294247
2015-01-01,7022.5,7022.5
2023-01-01,71.1163195036822,71.1163195036822
2017-01-01,7252.208688617,7252.208688617
2020-01-01,738.6,738.6
2016-01-01,7480,7480.0
2022-01-01,75.5616273551079,75.5616273551079
2024-01-01,760.81,760.81
2019-01-01,77.1265315541331,77.1265315541331
2021-01-01,77.5985222637414,77.5985222637414
2018-01-01,776.01766262999,776.01766262999
2017-01-01,783.108221027398,783.108221027398
2022-01-01,788.870905105,788.870905105
2018-01-01,7915.329250562,7915.329250562
2016-01-01,794.399176116625,794.399176116625
2024-01-01,81.4306171164547,81.4306171164547
2017-01-01,8100.892482367,8100.892482367
2019-01-01,815.269406097,815.269406097
2018-01-01,825.884796434895,825.884796434895
2014-01-01,8255.5,8255.5
2024-01-01,830.59,830.59
2018-01-01,833.350423475237,833.350423475237
2016-01-01,843.740397683981,843.740397683981
2018-01-01,8431.743379019,8431.743379019
2023-01-01,850.524506335,850.524506335
2021-01-01,851.991481485,851.991481485
2018-01-01,8515.397625045,8515.397625045
2016-01-01,8652.2,8652.2
2022-01-01,876.960109511,876.960109511
2015-01-01,901.650799904377,901.650799904377
2023-01-01,907.022296172,907.022296172
2015-01-01,910.393648820273,910.393648820273
2015-01-01,9116.7,9116.7
2024-01-01,914.529,914.529
2016-01-01,9189.6,9189.6
2022-01-01,92.6725968045702,92.6725968045702
2020-01-01,92.8337736858353,92.8337736858353
2014-01-01,920.244220481415,920.244220481415
2015-01-01,9205.1,9205.1
2022-01-01,93.85448900096,93.85448900096
2024-01-01,99.6980642174358,99.6980642174358
