Date,headline_cpi,imported_tradeables_inflation,food_inflation,core_inflation
2016-01-01,2.8,4.01841623961821,2.6,97.4586654212653
2016-02-01,3.1,3.69196329252401,3.2,97.7
2016-03-01,2.7,3.66604632530785,3.2,97.9208870725751
2016-04-01,2.7,3.86738965763649,3.2,98.5
2016-05-01,2.5,3.83435765122611,3.1,98.7
2016-06-01,2.6,3.63684379300879,2.8,98.7
2016-07-01,3.0,3.64851072431529,2.7,99.5
2016-08-01,2.9,3.62070380476915,2.6,99.7
2016-09-01,2.9,3.5544491157502,2.7,100.0
2016-10-01,3.1,3.41868330925581,2.7,100.2
2016-11-01,3.5,3.72535332078039,2.9,100.435798006059
2016-12-01,3.5,3.7,3.0,100.5
2017-01-01,3.6,3.9,2.8,101.0
2017-02-01,3.8,3.9,2.9,101.1
2017-03-01,4.2,3.9,3.0,101.7
2017-04-01,4.2,3.3,3.0,102.0
2017-05-01,4.1,3.4,3.1,102.1
2017-06-01,3.9,3.3,3.3,102.4
2017-07-01,3.7,3.3,3.2,102.5
2017-08-01,3.6,3.3,3.2,102.6
2017-09-01,3.4,3.0,3.0,102.7
2017-10-01,3.3,2.8,2.7,102.7
2017-11-01,3.0,2.4,2.6,103.0
2017-12-01,3.1,2.3,2.9,103.5
2018-01-01,2.8,2.2,2.9,103.8
2018-02-01,2.7,2.2,2.9,104.1
2018-03-01,2.3,2.0,2.6,104.4
2018-04-01,2.7,1.9,3.1,105.4
2018-05-01,2.5,1.8,3.0,105.5
2018-06-01,2.3,1.8,2.7,106.5
2018-07-01,2.09027356241052,1.7,2.70252416281398,106.6
2018-08-01,2.0,1.6,2.6,106.6
2018-09-01,2.0,1.6,2.7,106.7
2018-10-01,2.5,1.6,3.4,107.5
2018-11-01,2.6,1.7,3.6,107.6
2018-12-01,2.5,,3.5,108.0
2019-01-01,2.4,,3.4,100.4
2019-02-01,2.27919205759122,,3.2,100.5
2019-03-01,2.18589485803398,,3.2,100.6
2019-04-01,1.6620443462442,,2.6,101.3
2019-05-01,1.80993790926918,,2.7,101.5
2019-06-01,2.09927061497017,,2.9,101.2
2019-07-01,2.13766157666344,,3.0,101.5
2019-08-01,2.2,,3.1,101.5
2019-09-01,2.3,,3.1,101.6
2019-10-01,1.8,,2.5,101.6
2019-11-01,1.5,,2.3,101.7
2019-12-01,1.6,,2.3,101.8
2020-01-01,1.8,2.7,2.3,102.2
2020-02-01,1.9,2.7,2.3,102.4
2020-03-01,2.0,2.7,2.3,102.5
2020-04-01,2.3,2.6,2.6,102.7
2020-05-01,2.2,2.6,2.3,103.0
2020-06-01,0.4,2.8,1.1,102.7
2020-07-01,1.1,2.8,0.9,102.9
2020-08-01,1.1,2.9,1.0,103.1
2020-09-01,1.9,3.1,1.7,104.0
2020-10-01,2.4,3.4,2.2,104.4
2020-11-01,2.4,3.4,2.2,104.6
2020-12-01,2.4,3.3,2.1,104.7
2021-01-01,2.6,3.4,2.0,105.3
2021-02-01,2.7,3.6,2.1,105.6
2021-03-01,3.5,3.9,2.9,106.2
2021-04-01,5.9,6.1,5.5,109.6
2021-05-01,6.5,6.7,6.1,110.0
2021-06-01,8.3,6.8,8.2,111.0
2021-07-01,9.0,7.0,8.8,113.0
2021-08-01,8.9,6.8,8.7,113.1
2021-09-01,8.6,7.1,8.4,113.1
2021-10-01,9.0,7.2,8.7,113.7
2021-11-01,8.8,7.0,8.5,113.7
2021-12-01,8.8,7.1,8.6,113.9
2022-01-01,10.7,6.7,10.4,116.2
2022-02-01,10.6,6.8,10.4,116.6
2022-03-01,9.9,6.8,9.9,116.9
2022-04-01,9.6,5.9,9.4,119.9
2022-05-01,12.1,6.4,11.8,121.9
2022-06-01,13.1169898621497,6.6,12.4,123.7
2022-07-01,14.7875087667358,7.6,14.2,125.8
2022-08-01,15.1113951295839,8.0,14.5,126.1
2022-09-01,14.6673384375928,8.0,13.5,126.0
2022-10-01,13.8,8.0,12.8,126.3
2022-11-01,13.0,8.3,11.8172192762404,125.9
2022-12-01,13.3,8.7,12.2,126.5
2023-01-01,9.3,9.1,9.4,127.0
2023-02-01,9.13740551823692,8.7,9.0789948494477,127.0
2023-03-01,10.404345889737,8.9,9.7414941343424,128.5
2023-04-01,8.59830311600425,8.3,7.89349801195072,128.9
2023-05-01,6.1,7.7,5.6,126.0
2023-06-01,4.8,7.11677997516238,4.6,126.667931969068
2023-07-01,1.3,5.9,1.5,126.3
2023-08-01,1.0,5.5,1.2,126.4
2023-09-01,3.4,5.2367,3.1,127.3834
2023-10-01,3.1,4.9,2.9,128.5
2023-11-01,3.93219719727209,4.90356968030572,3.72834606997625,132.031700481981
2023-12-01,3.52292352972521,4.43554371599757,3.37473378160782,131.760302434316
2024-01-01,4.17733993272176,4.1,3.6888293331214,132.9
2024-02-01,4.25819404994696,4.14684533172178,3.66582245855509,132.428983633489
2024-03-01,2.9,3.7,2.8,132.390497615297
2024-04-01,3.2,3.09926294388856,3.0,131.961301038241
2024-05-01,3.2,2.98285070972064,2.9,132.833115329096
2024-06-01,3.05907732977579,2.72161080868709,2.72397413554011,132.925380481211
2024-07-01,4.19910889175106,2.88577740329745,3.65582712117367,133.399388029022
2024-08-01,4.62771013162444,3.18222577765526,3.75653158506464,133.792929373917
2024-09-01,1.67206519817504,3.07234220244357,1.40699104827873,130.310101128619
2024-10-01,1.9,2.95237235781192,1.6,130.513649177863
2024-11-01,2.06581484413768,3.12234822388071,1.78595643554154,130.742519949872
2024-12-01,2.0,3.29545265030757,1.7,131.175572912615
2025-01-01,3.0190583241186,3.54861883885214,2.46461451601643,131.887974872716
2025-02-01,3.20490295847726,3.84188814339255,2.72625837221925,132.26190497893
2025-03-01,3.20677798674038,4.0418481824831,3.01509021869684,132.393482118862
2025-04-01,2.8,4.12618173839454,2.4,132.697188295286
2025-05-01,2.44845813594836,3.71100932530151,1.91847076109142,133.826630521509
2025-06-01,2.45085597059271,3.86550211299661,2.0428791907622,134.255734712108
2025-07-01,1.80479619951928,3.50980525563007,1.04795118863048,134.537329288207
2025-08-01,1.64266650068836,3.87846915110617,1.64864534256577,135.252863878552
2025-09-01,4.03040922754532,4.49547806334223,3.9298695617445,138.500170747681
2025-10-01,4.22735869912307,4.78501086293976,4.01306374460737,138.746746788904
2025-11-01,4.03605451973081,4.91789386649955,3.86753160920397,138.76437094782
2025-12-01,4.10634256373728,4.90229953260346,4.11281737698261,139.080431564149
2026-01-01,4.2266693260643,5.09954675182336,4.32008887243103,139.900891696489
2026-02-01,4.3,5.0,4.1,140.3
2026-03-01,4.58583138164681,5.31301498593952,4.24959438229591,140.933398936545
2026-04-01,11.8,5.57892187437938,10.1,148.651772624261
2026-05-01,12.1,5.9407459519726,10.5,149.112482036653
2026-06-01,12.1166281199858,5.85255540857577,10.4433791249041,149.272314435985
