model,hyperparameter,rmse_effect_range,best_value_by_mean_rmse,best_mean_cv_rmse,worst_mean_cv_rmse,values_tested
LightGBMRegressor,reg_alpha,1.481266205721754,1.0,3.5348904081700603,5.016156613891814,6
LightGBMRegressor,min_child_samples,1.3656434876783337,5.0,3.4401920835057416,4.805835571184075,5
LightGBMRegressor,colsample_bytree,0.8749660413565636,0.95,3.4884569304197304,4.363422971776294,5
LightGBMRegressor,learning_rate,0.8544602358476987,0.08,3.4364025485713525,4.290862784419051,6
RandomForestRegressor,max_features,0.8039160410270334,1.0,3.3477494006597937,4.151665441686827,6
LightGBMRegressor,n_estimators,0.7649651015068235,1200,3.6240286502567436,4.388993751763567,6
LightGBMRegressor,num_leaves,0.7187199426297446,31.0,3.6235817227824456,4.34230166541219,6
LightGBMRegressor,subsample,0.6488496927136511,0.75,3.6086058259329423,4.257455518646593,5
LightGBMRegressor,reg_lambda,0.5580909560848446,0.01,3.6534612280984518,4.211552184183296,6
RandomForestRegressor,min_samples_leaf,0.536119604024099,2.0,3.5604402619872366,4.096559866011336,5
RandomForestRegressor,n_estimators,0.5178763923367828,300,3.5474123336644565,4.065288726001239,5
RandomForestRegressor,min_samples_split,0.48375045508073056,2.0,3.5364152402205646,4.020165695301295,5
LightGBMRegressor,max_depth,0.4750718416135542,4,3.7561407143691157,4.23121255598267,7
RandomForestRegressor,max_depth,0.319006165201996,16.0,3.586736577070118,3.905742742272114,7
LightGBMRegressor,min_split_gain,0.28508004995491687,0.1,3.7213714808122274,4.006451530767144,5
RandomForestRegressor,bootstrap,0.020427980522250255,False,3.784722353530673,3.8051503340529234,2
