model_label,training_rows,train_rmse,validation_rmse,training_time_seconds
stageB_reference,55,0.32498242944131533,2.7184592423737226,0.04516797799988126
stageB_reference,80,0.3819996541670597,4.1909849554433505,0.05553082300139067
stageB_reference,106,0.5015029861710285,5.272611422019513,0.08020972599842935
stageB_reference,132,0.3394573982872969,3.283910810311032,0.11946614800035604
stageB_reference,158,0.284135182037137,3.8847048084425193,0.17204411899911065
stageB_reference,184,0.26800316867727375,1.7977682289645949,0.21674235699902056
stageC_tuned,55,0.5881673338130939,4.4404188716856865,0.23805488600009994
stageC_tuned,80,0.6918558210136124,5.4748369454809716,0.28247826299957524
stageC_tuned,106,1.1280950043242377,6.065304445674891,0.3521511600010854
stageC_tuned,132,1.0992361409287876,3.226043337152747,0.3996485940006096
stageC_tuned,158,0.9549299556705431,2.7101880900806776,0.476556341000105
stageC_tuned,184,0.8752312168092188,2.17724614015635,0.5278393230000802
